steamId,name,Tags,firstReleaseDate,copiesSold,price,revenue,avgPlaytime,publisherClass,publishers,developers,steamUrl,Review Count,Review Score,Steam Followers
2160220,Shipwrecked 64,Choices Matter,1/1/2024,"32,774",$7.99,"$244,089",6,Indie,"[""Cogware Games""]","[""Squeaks D'Corgeh"",""Cogware Games""]",https://store.steampowered.com/app/2160220,"2,041",96,"3,601"
2160220,Shipwrecked 64,1990's,1/1/2024,"32,774",$7.99,"$244,089",6,Indie,"[""Cogware Games""]","[""Squeaks D'Corgeh"",""Cogware Games""]",https://store.steampowered.com/app/2160220,"2,041",96,"3,601"
2160220,Shipwrecked 64,Controller,1/1/2024,"32,774",$7.99,"$244,089",6,Indie,"[""Cogware Games""]","[""Squeaks D'Corgeh"",""Cogware Games""]",https://store.steampowered.com/app/2160220,"2,041",96,"3,601"
2160220,Shipwrecked 64,Pixel Graphics,1/1/2024,"32,774",$7.99,"$244,089",6,Indie,"[""Cogware Games""]","[""Squeaks D'Corgeh"",""Cogware Games""]",https://store.steampowered.com/app/2160220,"2,041",96,"3,601"
2160220,Shipwrecked 64,1980s,1/1/2024,"32,774",$7.99,"$244,089",6,Indie,"[""Cogware Games""]","[""Squeaks D'Corgeh"",""Cogware Games""]",https://store.steampowered.com/app/2160220,"2,041",96,"3,601"
2160220,Shipwrecked 64,Adventure,1/1/2024,"32,774",$7.99,"$244,089",6,Indie,"[""Cogware Games""]","[""Squeaks D'Corgeh"",""Cogware Games""]",https://store.steampowered.com/app/2160220,"2,041",96,"3,601"
2160220,Shipwrecked 64,Casual,1/1/2024,"32,774",$7.99,"$244,089",6,Indie,"[""Cogware Games""]","[""Squeaks D'Corgeh"",""Cogware Games""]",https://store.steampowered.com/app/2160220,"2,041",96,"3,601"
2160220,Shipwrecked 64,Dark,1/1/2024,"32,774",$7.99,"$244,089",6,Indie,"[""Cogware Games""]","[""Squeaks D'Corgeh"",""Cogware Games""]",https://store.steampowered.com/app/2160220,"2,041",96,"3,601"
2160220,Shipwrecked 64,Singleplayer,1/1/2024,"32,774",$7.99,"$244,089",6,Indie,"[""Cogware Games""]","[""Squeaks D'Corgeh"",""Cogware Games""]",https://store.steampowered.com/app/2160220,"2,041",96,"3,601"
2160220,Shipwrecked 64,Co-op,1/1/2024,"32,774",$7.99,"$244,089",6,Indie,"[""Cogware Games""]","[""Squeaks D'Corgeh"",""Cogware Games""]",https://store.steampowered.com/app/2160220,"2,041",96,"3,601"
2160220,Shipwrecked 64,Multiplayer,1/1/2024,"32,774",$7.99,"$244,089",6,Indie,"[""Cogware Games""]","[""Squeaks D'Corgeh"",""Cogware Games""]",https://store.steampowered.com/app/2160220,"2,041",96,"3,601"
2160220,Shipwrecked 64,Online Co-Op,1/1/2024,"32,774",$7.99,"$244,089",6,Indie,"[""Cogware Games""]","[""Squeaks D'Corgeh"",""Cogware Games""]",https://store.steampowered.com/app/2160220,"2,041",96,"3,601"
